Year,Rank,Release Group, Worldwide , Domestic ,Domestic %, Foreign ,Foreign %, Origin , Worldwide Adjusted , Domestic Adjusted , Foreign Adjusted 
2000,130,Supernova," $14,828,081 "," $14,230,455 ",96%," $597,626 ",4%,USA," $26,319,844 "," $25,259,058 "," $1,060,786 "
2000,131,Malena," $14,493,284 "," $3,448,233 ",23.80%," $11,045,051 ",76.20%,USA," $25,725,579 "," $6,120,614 "," $19,604,966 "
2000,132,I Dreamed of Africa," $14,400,327 "," $6,651,522 ",46.20%," $7,748,805 ",53.80%,USA," $25,560,580 "," $11,806,452 "," $13,754,129 "
2000,133,What Planet Are You From?," $14,145,677 "," $6,291,602 ",44.50%," $7,854,075 ",55.50%,USA," $25,108,577 "," $11,167,594 "," $13,940,983 "
2000,134,The Ladies Man," $13,743,212 "," $13,616,610 ",99.10%," $126,602 ",0.90%,USA," $24,394,201 "," $24,169,483 "," $224,719 "
2000,135,Solarmax," $13,400,161 "," $13,400,161 ",100%,,,USA," $23,785,286 "," $23,785,286 ", $-   
2000,136,The Crew," $13,105,853 "," $13,023,075 ",99.40%," $82,778 ",0.60%,USA," $23,262,889 "," $23,115,958 "," $146,931 "
2000,137,The Way of the Gun," $13,069,740 "," $6,055,661 ",46.30%," $7,014,079 ",53.70%,USA," $23,198,789 "," $10,748,798 "," $12,449,990 "
2000,138,In the Mood for Love," $12,854,953 "," $2,738,980 ",21.30%," $10,115,973 ",78.70%,USA," $22,817,542 "," $4,861,690 "," $17,955,852 "
2000,139,Gossip," $12,591,270 "," $5,108,820 ",40.60%," $7,482,450 ",59.40%,USA," $22,349,504 "," $9,068,156 "," $13,281,349 "
2000,140,Ready to Rumble," $12,452,362 "," $12,394,327 ",99.50%," $58,035 ",0.50%,USA," $22,102,943 "," $21,999,930 "," $103,012 "
2000,141,The Legend of Drunken Master," $11,555,430 "," $11,555,430 ",100%,,,USA," $20,510,888 "," $20,510,888 ", $-   
2000,142,You Can Count on Me," $11,242,521 "," $9,416,804 ",83.80%," $1,825,717 ",16.20%,USA," $19,955,475 "," $16,714,827 "," $3,240,648 "
2000,143,Shadow of the Vampire," $11,155,214 "," $8,293,784 ",74.30%," $2,861,430 ",25.70%,USA," $19,800,505 "," $14,721,467 "," $5,079,038 "
2000,144,Lucky Numbers," $10,890,222 "," $10,042,516 ",92.20%," $847,706 ",7.80%,USA," $19,330,144 "," $17,825,466 "," $1,504,678 "
